cve_edo,Municipio,PD1,PD2,PD3,Total
8, ALLENDE,150000,2235901.56,4816825.99,7202727.55
8, ASCENCION,34079353.17,455547.58,5505399.11,40040299.86
8, BACHINIVA,181840.68,25755.33,2579599.82,2787195.83
8, BALLEZA,0,2080000,1399853.31,3479853.31
8, BOCOYNA,0,4170.31,0,4170.31
8, BUENAVENTURA,828572.86,91437401.66,21706132.22,113972106.74
8, CAMARGO,767750,1050720,31206138.78,33024608.78
8, CASAS GRANDES,0,93173.45,78129093.11,78222266.56
8, CHIHUAHUA,74929920.3,21077425.99,625536908.95,721544255.24
8, CHINIPAS,0,772461.16,0,772461.16
8, COYAME,0,0,2006514.83,2006514.83
8, LA CRUZ,0,0,66268.73,66268.73
8, CUAUHTEMOC,45331285.88,981555588.23,852488703.49,1879375577.6
8, CUSIHUIRIACHIC,652641.31,97947.2,8607311.37,9357899.88
8, DELICIAS,21538023.42,87954700.97,182171972.09,291664696.48
8, GALEANA,0,407388.63,49635.55,457024.18
8, GENERAL FRIAS,813868.02,8371.42,0,822239.44
8, GOMEZ FARIAS,0,32464.64,40271.18,72735.82
8, GRAN MORELOS,0,1527.04,0,1527.04
8, GUACHOCHI,7520000,0,462065.7,7982065.7
8, GUADALUPE Y CALVO,0,0,7500000,7500000
8, GUERRERO,678404.51,5262401.97,10556664.98,16497471.46
8, HIDALGO DEL PARRAL,12672698.46,20106247.22,128511959.22,161290904.9
8, HUEJOTITLAN,0,0,300000,300000
8, IGNACIO ZARAGOZA,1309.13,0,0,1309.13
8, JANOS,0,147210.48,43137204.74,43284415.22
8, JIMENEZ,239598.99,10634498.33,50547999.18,61422096.5
